{'concept_name': {
'ID: 40749013 | Value: rosuvastatin 10 MG Oral Tablet by TEVA | COUNT: 37',
'ID: 1545997 | Value: atorvastatin 10 MG Oral Tablet | COUNT: 31',
'ID: 1545959 | Value: atorvastatin 80 MG Oral Tablet | COUNT: 29',
'ID: 43587420 | Value: Pravastatin Oral Tablet [Pravalip] | COUNT: 19',
'ID: 1551860 | Value: pravastatin | COUNT: 16',
'ID: 40165262 | Value: rosuvastatin calcium 5 MG Oral Tablet [Crestor] | COUNT: 13',
'ID: 40175400 | Value: pravastatin sodium 40 MG Oral Tablet | COUNT: 11',
'ID: 21046927 | Value: rosuvastatin 5 MG Oral Tablet [Crestor] by DE | COUNT: 10',
'ID: 35864152 | Value: simvastatin 20 MG Oral Capsule | COUNT: 10',
'ID: 21143496 | Value: Simvastatin 80 MG Oral Tablet by Alliance | COUNT: 8',
'ID: 43295611 | Value: Simvastatin 20 MG Oral Tablet [Simvacor] | COUNT: 8',
'ID: 21084624 | Value: fluvastatin 20 MG Oral Capsule [Lescol] by Mawdsley-Brooks | COUNT: 8',
'ID: 1539465 | Value: simvastatin 20 MG | COUNT: 7',
'ID: 40749039 | Value: rosuvastatin 20 MG Oral Tablet by TEVA | COUNT: 7',
'ID: 43527038 | Value: atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet | COUNT: 5',
'ID: 1539466 | Value: simvastatin 40 MG | COUNT: 5',
'ID: 43527035 | Value: atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet | COUNT: 4',
'ID: 43257606 | Value: Simvastatin 10 MG Oral Tablet [Simvacor] | COUNT: 2',
'ID: 43527032 | Value: atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet | COUNT: 2',
'ID: 21074950 | Value: fluvastatin 40 MG Oral Capsule [Lescol] by Dowelhurst | COUNT: 2',
'ID: 1539464 | Value: simvastatin 10 MG | COUNT: 1',
'ID: 35864135 | Value: simvastatin 40 MG Oral Capsule | COUNT: 1'
},
"drug_type_category":["given_in_hospital", "chronic_medications"]
}
